PMID,Sentence,Found Terms
38283415,"Objective This study aimed to assess the level of knowledge, attitude, and willingness of people with and without heart disease relatives to perform CPR in a case of cardiac arrest.","Disease, Attitude, Heart Arrest"
38283415,"The average daily sleep duration varied, with the majority (64.7%) reporting six to nine hours of sleep.","Sleep, Sleep Duration"
38283415,"A family history of heart disease was reported by 46.4% of participants, whereas 16.3% reported a personal diagnosis of heart disease.","Disease, Diagnosis, Family"
38283415,"Factors such as age showed a weak association with knowledge level, while gender, region, education, employment, and family history of heart disease did not significantly impact knowledge.","Association, Disease, Family"
38283328,Hepatitis B virus-mediated sodium influx contributes to hepatic inflammation via synergism with intrahepatic danger signals.,"Inflammation, Hepatitis B, Hepatitis"
38283328,"However, its role in hepatitis B virus (HBV)-associated hepatitis remains unknown.","Role, Hepatitis B, Hepatitis"
38283328,"HBV-mediated synergism with intrahepatic signals represented by ATP molecules on NLRP3 activation was observed via relevance analysis, confocal microscopy, and co-immunoprecipitation, and its effector cytokines exhibit positive associations with hepatic inflammation in patients with severe hepatitis B.","Inflammation, Hepatitis B, Microscopy, Microscopy, Confocal, Hepatitis"
38283328,"Our data demonstrate that HBV contributes to hepatic inflammation via sodium influx-dependent synergistic activation of NLRP3 inflammasome, which provides a deeper understanding of immune pathogenesis in HBV-associated hepatitis.","Inflammation, Hepatitis A, Hepatitis"
38283322,Epidural analgesia may cause maternal hypotension and changes in the fetal heart rate.,"Heart Rate, Hypotension"
38283316,"Assessment of Color Change, Esthetic Perception, Treatment Satisfaction, and Side Effects Following the Use of Over-the-Counter Whitening Products.","Perception, Color Perception"
38283245,"Patients with sepsis always have a high mortality rate, and acute kidney injury (AKI) is the main cause of death.","Sepsis, Death, Acute Kidney Injury"
38283245,"Acute kidney injury models induced by lipopolysaccharide were established using T-cell, B-cell, and T&B cell knockout mice to elucidate the role of immune cells in sepsis.","Role, Sepsis, Acute Kidney Injury"
38283217,"Alzheimer's disease is a neurodegenerative disorder that impacts memory, thinking, and behavior, and currently, there is no effective cure available for its treatment.","Behavior, Alzheimer Disease, Disease, Thinking, Memory"
38283158,To present a unique case of pulmonary embolism (PE) in an elite-Ironman triathlete and review athlete-specific risk factors associated with venous thromboembolism (VTE).,"Venous Thromboembolism, Embolism, Pulmonary Embolism, Thromboembolism"
38283157,"Canada-based sports chiropractors' attitudes, beliefs, and practical application of sport psychology in the injury rehabilitation process: a mixed-methods study.","Psychology, Sports, Psychology"
38283157,"To understand Canada-based sports chiropractors' attitudes, beliefs, and practical application of sport psychology in the sports injury rehabilitation process.","Psychology, Sports, Psychology"
38283128,"The majority of Americans fail to achieve recommended levels of physical activity, which leads to numerous preventable health problems such as diabetes, hypertension, and heart diseases.","Hypertension, Heart Diseases"
38283044,Vitiligo overlying varicose veins: Three cases of a rare possible Koebner phenomenon.,"Vitiligo, Varicose Veins"
38283032,We report a rare case of a 6-year-old child with multiple melanocytic nevi subsequently diagnosed with melanoma of the back and metastatic disease.,"Disease, Melanoma"
38283029,"Oral Lichen Planus: An Updated Review of Etiopathogenesis, Clinical Presentation, and Management.","Lichen Planus, Lichen Planus, Oral"
38283029,"LP is a heterogeneous disease with varied clinical presentations having different natural history, prognosis, sequelae, and outcomes.","Disease, Prognosis"
38283028,Paraneoplastic Cutaneous Leukocytoclastic Vasculitis as an Initial Presentation of Chronic Lymphocytic Leukemia.,"Vasculitis, Leukemia"
38283003,Disseminated Cutaneous Gout Mimicking Calcinosis Cutis: A Rare Clinical Presentation.,"Calcinosis, Gout, Calcinosis Cutis"
38283002,"However, in recent times, a rise in the incidence of syphilis has been reported by Centers for Disease Control and Prevention (CDC).","Disease, Syphilis"
38283001,Is Atopic Dermatitis a Risk Factor for Thyroid Autoimmunity?,"Autoimmunity, Dermatitis"
38283001,"Because of the counter-regulation of Th1 and Th2 cells, Th1-type autoimmune diseases like thyroid autoimmunity and Th2-mediated allergic diseases like atopic dermatitis (AD) should occur in mutually exclusive populations.","Autoimmune Diseases, Thyroid Diseases, Autoimmunity, Dermatitis, Dermatitis, Atopic"
38283001,"However, thyroid autoimmunity has been associated with chronic urticaria, and atopy is considered a cause of both AD and urticaria.","Chronic Urticaria, Autoimmunity, Urticaria"
38282994,Community-acquired (CA) pyodermas are one of the most common infections encountered in the dermatology outpatient clinics.,"Community-Acquired Infections, Infections"
38282989,"A Study on Knowledge, Attitude, and Practice Related to Sexually Transmitted Infections Among Students of Nonmedical Background in Manipal, India.","Attitude, Infections"
38282989,"According to the World Health Organization (WHO), one in twenty adolescents contracts an STI every year, excluding the human immunodeficiency virus (HIV) and other viral infections.","HIV Infections, Infections"
38282952,Cachexia Prevalence in a Population of Moroccan Women with Rheumatoid Arthritis.,"Cachexia, Arthritis"
38282952,"To assess body composition in women with rheumatoid arthritis (RA) compared to healthy controls, to calculate the prevalence of rheumatoid Cachexia (RC), and to identify the associated factors.","Cachexia, Arthritis, Arthritis, Rheumatoid"
38282951,Regulatory B Cells Evaluation in Systemic Lupus Erythematosus Patients with Subclinical Atherosclerosis and Secondary Antiphospholipid Syndrome.,"Atherosclerosis, Syndrome, Antiphospholipid Syndrome"
38282951,We aimed to evaluate the contribution of Breg cells in SLE and secondary antiphospholipid syndrome (APS) patients taking into consideration its relation to subclinical atherosclerosis and the disease activity.,"Disease, Atherosclerosis, Syndrome, Antiphospholipid Syndrome"
38282950,Tubercular pyomyositis is a rare but distinct clinical entity which is difficult to diagnose especially in a patient with underlying autoimmune disease.,"Disease, Pyomyositis"
38282950,Here we report a patient with primary Sjögren's syndrome who presented with persistent inflammation of his right arm which was later diagnosed as multi-drug resistant tubercular pyomyositis.,"Pyomyositis, Inflammation, Syndrome"
38282950,This case highlights the need for a high index of suspicion for tuberculosis in all cases of pyomyositis.,"Pyomyositis, Tuberculosis"
38282949,"Hughes-Stovin Syndrome: A Case Report on a Rare, Life-Threatening Vasculitis.","Vasculitis, Syndrome"
38282949,Our case describes a young male who presented with haemoptysis and previous history of pulmonary embolism.,"Embolism, Pulmonary Embolism"
38282948,Acquired amegakaryocytic thrombocytopenia (AAMT) is a rare cause of thrombocytopenia seen in systemic lupus erythematosus (SLE) that is frequently misdiagnosed as immune thrombocytopenic purpura (ITP).,"Thrombocytopenia, Purpura"
38282948,Prompt bone marrow biopsy and further workup should ensue as it is a diagnosis of exclusion.,"Diagnosis, Biopsy"
38282948,"Some cases are refractory and should have a follow-up biopsy, typically showing worsening disease.","Disease, Biopsy"
38282947,The Role of Nailfold Capillaroscopy in Evaluating Patients with Interstitial Lung Disease Related to Connective Tissue Disease.,"Role, Disease"
38282947,The role of capillaroscopy has also been investigated in patients with CTD and interstitial lung disease (ILD).,"Role, Disease"
38282946,"This study aimed to assess how effective an oral form of Cetylated fatty acids compounds (CFA) is in improving the physical function, pain, and stiffness of individuals suffering from knee osteoarthritis (OA) and how its effectiveness compares to that of Meloxicam, a non-steroidal anti-inflammatory drug (NSAID).","Osteoarthritis, Knee, Osteoarthritis, Pain"
38282945,Effect of Hypertension on Bone Mineral Density of Patients with Rheumatoid Arthritis.,"Bone Density, Hypertension, Arthritis"
38282945,Patients with rheumatoid arthritis (RA) are associated with low bone mineral density (BMD).,"Bone Density, Arthritis"
38282945,Chronic comorbidities such as type II diabetes mellitus have shown to affect BMD parameters in patients with RA.,"Affect, Diabetes Mellitus"
38282945,Hypertension (HT) is a chronic disease and its coexistence with RA can alter bone health.,"Disease, Hypertension, Chronic Disease"
38282944,A Case of Protracted Febrile Myalgia Syndrome with Atypical Course and Severe Asymmetric Loss of Muscle Strength.,"Myalgia, Muscle Strength, Syndrome"
38282944,Protracted febrile myalgia syndrome (PFMS) is a rare form of familial Mediterranean fever (FMF) characterised by prolonged myalgia.,"Fever, Myalgia, Familial Mediterranean Fever, Syndrome"
38282944,The duration of PFMS is much longer than a typical 2-5-day attack familial Mediterranean fever and lasts for 2-6 weeks until they treated with corticosteroids.,"Fever, Familial Mediterranean Fever"
38282944,"Herein, we present a young adult without typical familial Mediterranean fever clinical features but presenting with atypical course and severe asymmetric muscle strength loss.","Fever, Muscle Strength, Familial Mediterranean Fever"
38282944,Thigh magnetic resonance imaging confirmed inflammation and oedema and muscle biopsy showed no pathological findings.,"Inflammation, Magnetic Resonance Imaging, Biopsy"
38282944,"PFMS should be considered even in the absence of apparent FMF attack pattern and in the presence of unexpected severe muscle weakness, especially in areas endemic for FMF and long-lasting myalgia attacks.","Muscle Weakness, Myalgia"
38282943,The implementation of the treat-to-target (T2T) strategy with close monitoring and frequent treatment adaptations targeting disease remission has been proposed as the means to prevent radiographic progression and long-term adverse outcomes.,"Disease, Disease Progression"
38282943,"In this project we will employ the ""University of Crete Rheumatology Clinic Registry"" to prospectively study in real-world practice musculoskeletal and extraarticular disease activity, patient function, comorbidities, sociodemographics, imaging, compliance to therapy and other lifestyle factors in axial and peripheral SpA patients.","Disease, Patient Compliance"
38282942,"Rheumatoid arthritis (RA) is a prevalent chronic inflammatory arthritis worldwide, significantly impacting patients and population health.","Arthritis, Arthritis, Rheumatoid"
38282942,"In addition, recent findings suggest a potential role of new substantial environmental factors, such as the observed pollution of the planet's natural resources, on the susceptibility and progression of the disease.","Role, Disease, Disease Susceptibility, Disease Progression"
38282940,"Disease Profile and Achievement of Therapeutic Goals in a Modern, Nationwide Cohort of 923 Patients with Psoriatic Arthritis.","Disease, Goals, Achievement, Arthritis, Arthritis, Psoriatic"
38282940,"Psoriatic arthritis (PsA) is a heterogenous chronic inflammatory disease affecting skin, joints, entheses, and spine with various extra-musculoskeletal manifestations and comorbidities.","Disease, Arthritis, Skin Manifestations, Arthritis, Psoriatic, Chronic Disease"
38282939,"Clinical, Serological, and Immunological Characteristics of Greek Patients with Polymyalgia Rheumatica and/or Giant Cell Arteritis: A Research Protocol.","Arteritis, Giant Cell Arteritis, Polymyalgia Rheumatica"
38282939,Polymyalgia Rheumatica (PMR) and Giant Cell Arteritis (GCA) are chronic inflammatory disorders that usually affect older people.,"Arteritis, Affect, Giant Cell Arteritis, Polymyalgia Rheumatica"
38282939,"The diagnosis of the disease is usually based on clinical manifestations and the use of histology or imaging, while disease monitoring is based on physical examination, laboratory, and imaging findings.","Disease, Diagnosis, Physical Examination"
38282937,"We encountered five patients with Rheumatic symptoms, suspected to have five different clinical diagnoses: Systemic vasculitis, Gout, Systemic Sclerosis, Rheumatoid Arthritis, and Spondyloarthropathy.","Gout, Vasculitis, Rheumatoid Vasculitis, Arthritis, Arthritis, Rheumatoid, Sclerosis, Systemic Vasculitis"
38282935,Quality-of-Life Endpoints in Women of Childbearing Age with Hidradenitis Suppurativa: A Tertiary-Care-Centre-Based Study.,"Hidradenitis Suppurativa, Hidradenitis"
38282935,"Hidradenitis suppurativa (HS) principally affects women of childbearing age, who face gender-specific challenges and have lower life-quality than men.","Hidradenitis Suppurativa, Hidradenitis"
38282934,"A Conundrum of Severe Hypokalaemic Quadriparesis, Acute Kidney Injury, and Lung Involvement as the Initial Presentation of Catastrophic Primary Sjögren's Syndrome: Is it a New Entity?","Acute Lung Injury, Lung Injury, Syndrome, Acute Kidney Injury"
38282934,"We present a case of a 40-year-old female with severe hypokalaemic paralysis, tubulointerstitial nephritis, and lung involvement as the initial presentation of catastrophic pSS without sicca symptoms.","Nephritis, Paralysis"
38282931,Hydroxychloroquine-Induced Stevens-Johnson Syndrome in the Patient with Systemic Lupus Erythematosus: A Case Report in Kurdish Region - Iraq.,"Stevens-Johnson Syndrome, Syndrome"
38282931,Systemic lupus erythematosus (SLE) is a chronic autoimmune disease that mainly affects women.,"Disease, Chronic Disease"
38282931,"Hydroxychloroquine (HCQ) and chloroquine are widely used in the treatment of many diseases, such as malaria, rheumatic arthritis, systemic lupus erythematosus, and other Rheumatic diseases.","Arthritis, Rheumatic Diseases, Malaria, Lupus Erythematosus, Systemic"
38282931,"The Stevens-Johnson Syndrome (SJS) is a rare immune complex-mediated hypersensitivity disorder that is characterised as a vesiculobullous erythema multiform of the skin, mouth, eyes, and genitals.","Stevens-Johnson Syndrome, Hypersensitivity, Syndrome, Erythema"
38282930,Ultrasonography Enthesitis and Synovitis Screening in Psoriatic Patients: A Case Control Study.,"Synovitis, Ultrasonography"
38282930,The clinical screening of enthesitis and synovitis in patients with psoriasis lacks specificity and sensitivity during the preclinical phase.,"Psoriasis, Synovitis"
38282929,Is there a Role for Anti-IL-5 Therapies in Eosinophilic Fasciitis?,"Role, Fasciitis"
38282929,"Eosinophilic Fasciitis (EF) is a rare disease, originally proposed as ""diffuse fasciitis with eosinophilia"" by Shulman in 1974.","Fasciitis, Disease, Eosinophilia"
38282929,"Symptoms of EF include peripheral eosinophilia accompanied by symmetrical inflammation of the subcutaneous fascia and muscle, usually locating in the upper arms or thighs.","Inflammation, Eosinophilia"
38282928,Pre-Pulseless Takayasu Arteritis is Associated with Distinct Clinical and Angiographic Features but Similar Outcomes - A Cohort Study.,"Arteritis, Takayasu Arteritis"
38282928,"To compare the presentation, angiographic features, evolution, and prognosis of prepulseless Takayasu arteritis (TAK) with TAK with pulse loss.","Arteritis, Prognosis, Pulse, Takayasu Arteritis"
38282923,"Investigation of Biopsychosocial Status, Fatigue, Sleep Quality, Alexithymia, Cognitive Functions, and Quality of Life in Behçet's Disease.","Disease, Sleep Quality, Sleep, Fatigue"
38282923,"The aim of this study was to compare the effects of Behçet's disease in terms of anxiety, biopsychosocial status, fatigue, sleep quality, alexithymia, cognitive level, and quality of life according to major and minor organ involvement.","Disease, Sleep Quality, Sleep, Fatigue, Anxiety"
38282901,"Emicizumab is a bispecific antibody that bridges activated factor (F)IX and FX, mimicking the function of missing activated FVIII and thus improving hemostasis in people with hemophilia A.","Hemophilia A, Hemostasis"
38282888,"Differential diagnostics, including skin tests, sIgE detection tests, basophil and mast cell activation tests as well as double-blind placebo-controlled food challenge tests, is the gold standard in the diagnosis of food allergy.","Diagnosis, Skin Tests, Diagnosis, Differential"
38282888,"Recently, increasing attention has been paid to the potential use of nasal provocation test in the diagnosis of food allergy.","Diagnosis, Attention"
38282886,"Atopic dermatitis is a relapsing, chronic, inflammatory dermatosis.","Dermatitis, Dermatitis, Atopic"
38282885,"Skin diseases affect patients at any age, but as each period in life is different, tools used to assess quality of life impairment should be adjusted according to the particular age group.","Affect, Skin Diseases"
38282884,"Retracted: Affective temperament, depressive symptoms and interleukins in patients with psoriasis.","Psoriasis, Affective Symptoms, Temperament"
38282883,Food allergy is a common concomitant disease in patients with atopic dermatitis.,"Disease, Dermatitis"
38282883,"Emollients are the mainstay of the management of atopic dermatitis; however, the prevalence of food allergens in skincare products used for atopic dermatitis is unknown.","Dermatitis, Dermatitis, Atopic"
38282882,"Concerns are growing in the aviation industry about occupational skin diseases like malignant melanoma (MM) among airline pilots (APs), due to the unique working environment that exposes them to various skin stressors.","Occupational Diseases, Skin Diseases, Melanoma"
38282880,"Many studies have reported that moderate-to-severe AD was significantly improved after dupilumab injection, although head/neck dermatitis occurred with itching, flushing, and scaling.","Flushing, Dermatitis"
38282878,"Upadacitinib, an oral selective-JAK1 inhibitor, has been used in clinical trials to treat atopic dermatitis (AD).","Dermatitis, Dermatitis, Atopic"
38282877,"Acne vulgaris is a prevalent skin disorder influenced by a variety of factors, including a high body mass index (BMI) and obesity.","Obesity, Body Mass Index, Acne Vulgaris"
38282875,"A possible mechanism in the pathogenesis of allergic rhinitis (AR) is hypercholesterolemia, which may shift the balance between Th1- and Th2-dependent immune responses towards the latter.","Hypercholesterolemia, Rhinitis, Rhinitis, Allergic"
38282874,The receptor for advanced glycation end products (RAGE) plays a role in inflammatory reactions.,"Role, Rage"
38282872,Dermoscopy and reflectance confocal microscopy of metastatic Crohn's disease.,"Dermoscopy, Disease, Microscopy, Crohn Disease"
38282871,"Methods estimating airway resistance, air trapping, and ventilation inhomogeneity are useful for assessing this area of the lung and have proven utility in the evaluation of asthma; however, it is unclear which method is most effective at characterising uncontrolled asthma.","Airway Resistance, Asthma"
38282869,"Its anti-inflammatory, antioxidant and antimicrobial properties against Propionibacterium acne are currently used in the treatment of various types of acne such as rosacea and acne vulgaris.","Rosacea, Acne Vulgaris"
38282815,Mucormycosis is a fungal infection that can affect multiple organs.,"Mucormycosis, Affect"
38282815,The role of fine-needle aspiration cytology (FNAC) in its diagnosis is not well documented.,"Role, Diagnosis"
38282813,Value of Imprint Cytology for the Rapid Diagnosis of Mucormycosis in the COVID-19 Pandemic Setting - A Pilot Study.,"Mucormycosis, Diagnosis, COVID-19"
38282813,The second wave of the coronavirus disease 2019 (COVID-19) pandemic recorded a surge in rhino-orbital-cerebral mucormycosis (ROCM) infection in COVID-19-positive patients with diabetes and on concomitant steroid therapy.,"Mucormycosis, Disease, COVID-19"
38282813,The rapidly progressive and devastating nature of the disease necessitated prompt diagnosis and early intervention to improve patient outcomes.,"Disease, Early Diagnosis, Diagnosis"
38282813,"In cases with high clinicoradiologic suspicion for mucormycosis, imprint cytologic evaluation provides a rapid diagnosis.","Mucormycosis, Diagnosis"
38282809,Intraepithelial Inclusions on Urinalysis Screening among COVID-19 Cases: Are they,"COVID-19, Urinalysis"
38282809,"""Intraepithelial inclusions on urinalysis screening among COVID-19 cases: Are they","COVID-19, Urinalysis"
38282803,"Early diagnosis, timely prevention, and proper treatment are crucial for improving the outcome of kidney injury.","Early Diagnosis, Diagnosis, Treatment Outcome"
38282803,"Further extensive efforts in renal multimodal imaging and omics studies are extremely required to deepen our understanding on kidney injury in the context of diagnostic, mechanistic and therapeutic perspectives.","Diagnostic Imaging, Multimodal Imaging"
38282802,"Machine learning (ML) algorithms have emerged as powerful tools for CPI prediction, offering notable advantages in cost-effectiveness and efficiency.","Learning, Efficiency"
38282799,The mTOR pathway in the antiphospholipid syndrome.,"Syndrome, Antiphospholipid Syndrome"
38282799,"This perspective discussed the available evidence on the involvement of mTOR pathway in antiphospholipid syndrome (APS), from the aspects of endothelial cells, platelets, monocytes and anti-phospholipid antibodies (PLs), which may lead to future therapeutic applications of mTOR inhibition in APS.","Syndrome, Antiphospholipid Syndrome"
38282797,"The success and safety seen in treating complement-mediated hemolysis conditions has sparked the development of targeted therapies for rare autoimmune diseases, with expansion to more common autoimmune conditions.","Hemolysis, Autoimmune Diseases, Rare Diseases"
38282797,A dual approach targeting both complement and other immune components may be required for autoimmune diseases characterized by inflammation and complex pathogenic mechanisms.,"Inflammation, Autoimmune Diseases, Immune Complex Diseases"
38282758,This paper proposes a deep learning (DL) based method for segmenting and quantifying neuronal structures in fluorescence microscopy images of developing neuronal cells cultured in vitro.,"Learning, Microscopy"
38282708,"Brain-computer interface is the new method of human-computer interaction, which not only can realise the exchange of information between the human brain and external devices, but also provides a brand-new means for the diagnosis and treatment of brain-related diseases.","Diagnosis, Brain Diseases"
38282707,Early immunomodulation by magnesium ion: catalyst for superior osteogenesis.,"Immunomodulation, Osteogenesis"
38282704,Bone marrow-derived mesenchymal stem cells (BM-MSCs) play a crucial role in stem cell therapy and are extensively used in regenerative medicine research.,"Role, Play Therapy"
38282679,The etiology of chronic kidney disease (CKD) is varied and complex.,"Disease, Chronic Disease"
38282679,"Diabetes and hypertension comprise 2/3 of cases and rare conditions, including inherited genetic diseases, comprise 1/3.","Hypertension, Rare Diseases"
38282667,"This study aimed to assess the prevalence and patterns of COVID-19 vaccine side effects among Syrian adults, with a focus on the AstraZeneca and Sputnik Light vaccines, in light of the low vaccination rate in Syria (below 18%) attributed to fear of side effects.","Fear, COVID-19"
38282666,Lifestyle factors affecting new-onset nonalcoholic fatty liver disease.,"Fatty Liver, Disease"
38282666,Evidence for the influence of lifestyle factors on nonalcoholic fatty liver disease (NAFLD) onset is limited because the association between lifestyle factors and NAFLD has been reported mostly in cross-sectional studies.,"Association, Fatty Liver, Disease"
38282665,"Unhealthy alcohol use is a common, often unaddressed behavior associated with increased risk for acquisition of HIV and may also be associated with decreased adherence to oral pre-exposure prophylaxis (PrEP) among gay, bisexual, and other men who have sex with men (MSM) living in the United States.","Behavior, Sex"
38282665,Three themes emerged: 1) Consequences of fluctuations in drinking 2) Alcohol use negatively impacts health and relationships; and 3) Desire for a multimodal approach to treatment of unhealthy alcohol use.,"Alcohol Drinking, Drinking"
38282535,"The incidence and mortality rates of neurodegenerative diseases, such as Alzheimer's disease and Parkinson's disease, are gradually increasing worldwide.","Alzheimer Disease, Disease, Neurodegenerative Diseases, Parkinson Disease"
38281882,We used data made available by the United Nations Inter-agency Group for Child Mortality Estimation and the World Health Organization as well as the National Institute of Child Health and Human Development Global Network for Women's and Children's Health Research..,"Human Development, Child Development"
38281881,The occurrence of clear cell histologic sub-type of oral squamous cell carcinoma in the oral cavity is a distinct and exceedingly rare entity exhibiting aggressive behavior.,"Behavior, Carcinoma"
38281881,"The malignant clear cells in both cases showed intense positive reactions with IHC markers pan-cytokeratin and epithelial membrane antigen, confirming the diagnosis as a clear cell variant of oral squamous cell carcinoma (CCOSCC).","Carcinoma, Carcinoma, Squamous Cell, Diagnosis"
38281879,Warthin-like mucoepidermoid carcinoma is a recently defined variant of MEC that bears a close histologic resemblance to Warthin tumor.,"Carcinoma, Mucoepidermoid Tumor"
38281877,"Secondary outcomes were objective response rate, progression-free survival (PFS), radiological PFS, overall survival (OS), conversion of circulating tumor cell count, and time to PSA progression.","Progression-Free Survival, Cell Count"
38281822,Cystic fibrosis liver disease in the new era of cystic fibrosis transmembrane conductance regulator (CFTR) modulators.,"Cystic Fibrosis, Disease, Fibrosis"
38281822,Cystic fibrosis liver disease (CFLD) is characterised by a wide heterogenity of manifestations and severity.,"Cystic Fibrosis, Disease, Fibrosis"
38281822,"It represents a major cause of morbidity in people with cystic fibrosis (PwCF), which will be of increasing relevance as survival increases in the new era of cystic fibrosis care.","Cystic Fibrosis, Fibrosis"
38281822,No medical therapy currently available has evidence to treat or prevent progression of liver disease.,"Disease, Disease Progression"
38281822,"Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) modulators may be transformative on pulmonary, nutritional and quality of life, but direct effect on long term liver disease outcomes is not yet established.","Cystic Fibrosis, Disease, Fibrosis, Pulmonary Fibrosis"
38281820,Effect of Tyrosine Kinase Inhibitor Therapy on Estimated Glomerular Filtration Rate in Patients with Chronic Myeloid Leukemia.,"Leukemia, Glomerular Filtration Rate"
38281174,Perinatal mood and anxiety disorders and substance use disorders are the primary causes of maternal mortality in the postpartum period and represent major public health concerns.,"Anxiety Disorders, Mood Disorders, Postpartum Period, Anxiety"
38281173,"Perinatal mood and anxiety disorders (PMADs) are common, yet obstetricians receive little training prior to independent practice on screening, assessing, diagnosing, and treating patients with depression and anxiety.","Anxiety Disorders, Mood Disorders, Depression, Anxiety"
38281169,Sexual Dysfunction and Dyspareunia in the Setting of the Genitourinary Syndrome of Menopause.,"Menopause, Dyspareunia, Syndrome"
38281169,Sexual dysfunction is a common consequence of the genitourinary syndrome of menopause (GSM).,"Menopause, Syndrome"
38281168,"Genitourinary Syndrome of Menopause: Pathophysiology, Clinical Presentation, and Differential Diagnosis.","Diagnosis, Menopause, Diagnosis, Differential, Syndrome"
38281168,Scientific information is incomplete regarding the genitourinary syndrome of menopause.,"Menopause, Syndrome"
38281168,"Symptoms of dryness and pain emerge in late perimenopause, but they can also result earlier from cancer therapies or bilateral oophorectomy.","Perimenopause, Cancer Pain, Pain"
38281083,Bayesian networks are increasingly used to quantify the uncertainty of subjective and stochastic concepts such as trust.,"Trust, Uncertainty"
38280807,"The World Health Organization (WHO) declared coronavirus disease 2019 (COVID-19), a disease caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a global pandemic in March 2020.","Severe Acute Respiratory Syndrome, Disease, Acute Disease, COVID-19, Syndrome"
38280801,"Next generation technologies, such as machine learning and artificial intelligence, have the potential to expand upon the capabilities currently available and warrant additional study and development but also require regulation around their use in health care.","Learning, Intelligence"
38280798,"This article provides an overview of diagnostic stewardship approaches as applied to these assays, focusing on principles of collaboration, differential diagnosis formation, and seeking the best patient, syndrome, sample, timing, and test for improved patient care.","Diagnosis, Diagnosis, Differential, Syndrome"
38280751,"These neoplasms have very distinctive clinical and radiographic findings, exhibit a spectrum of dysplastic transformation, from low-grade dysplasia to high-grade dysplasia, and may be associated with an invasive carcinoma.","Carcinoma, Neoplasms"
38280746,"Colorectal polyps are common, and their diagnosis and classification represent a major component of gastrointestinal pathology practice.","Diagnosis, Polyps"
38280746,The majority of colorectal polyps represent precursors of either the chromosomal instability or serrated neoplasia pathways to colorectal carcinoma.,"Carcinoma, Chromosomal Instability, Polyps"
38280745,Timely diagnosis and effective management of colorectal dysplasia play a vital role in preventing mortality from colorectal cancer in patients with chronic inflammatory bowel disease.,"Role, Disease, Diagnosis, Chronic Disease"
38280337,"Facial nerve paralysis induced by acute traumatic facial nerve injuries limited to the zygomatic and buccal branches shows unique complications, such as strong co-contractions of the lower facial muscles around the lips during voluntary blinking (ocular-oral synkinesis).","Facial Paralysis, Blinking, Facial Injuries, Synkinesis, Paralysis, Facial Nerve Injuries"
38279867,"Prevalence estimates for overweight and obesity in the Gulf Cooperation Council countries, including Saudi Arabia, have increased over the last 4 decades.","Overweight, Obesity"
38279864,Population-based cross-sectional study of sex-specific dose-response associations between night sleep duration and hypertension in Islamic Republic of Iran.,"Hypertension, Sleep, Sleep Duration"
38279864,Several studies have suggested that sleep disorders have adverse effects on blood pressure.,"Sleep, Blood Pressure"
38279864,"However, the findings remain controversial and only a few studies have investigated the association between sleep duration and hypertension among all age and sex subgroups.","Association, Hypertension, Sleep, Sex, Sleep Duration"
38279511,Our study supports the notion that deep learning can be a valuable diagnostic tool with comparable accuracy to experienced senior radiologists in the diagnosis of malignant thyroid nodules.,"Learning, Diagnosis"
38279507,Effects of imperatorin on airway remodeling in bronchial asthma through S1PR2/STAT3 signaling pathway.,"Airway Remodeling, Asthma"
38279507,"In this study, we analyzed the effect of Imperatorin (IMP) on airway remodeling in bronchial asthma (BA) through the S1PR2/STAT3 signaling pathway.","Airway Remodeling, Asthma"
38279506,Correlation between immunoglobulin index level and disease severity and clinical manifestations in children with atopic dermatitis as a chronic inflammatory.,"Disease, Dermatitis, Chronic Disease"
38279506,"It was to analyze the clinical characteristics of atopic dermatitis (AD) in children and its relationship with immunoglobulin (IgG, IgA, IgM, IgE) levels.","Dermatitis, Dermatitis, Atopic"
38279504,"To assess the cell lines on esophagogastroduod enoscopies of children with feeding difficulty, esophageal fistula and asthma with histologic abnormality.","Fistula, Esophageal Fistula, Asthma"
38279504,"The purpose of this study is to evaluate the cell lines seen on esophagogastoduodenoscopy (EGD) of children who have difficulties feeding, esophageal fistula, and asthma that has some histologic abnormalities.","Fistula, Esophageal Fistula, Asthma"
38279504,100 children cells with esophageal atresia and tracheoesophageal fistula were included in the study.,"Tracheoesophageal Fistula, Fistula, Esophageal Fistula, Esophageal Atresia"
38279503,Correlations of IL-1β and vitamin D with CAT score in patients with acute exacerbation of chronic obstructive pulmonary disease.,"Disease, Acute Disease, Chronic Disease"
38279503,This study was to analyze the correlations of IL-1β and vitamin D (VitD) with chronic obstructive pulmonary disease assessment test (CAT) score in patients with acute exacerbation of chronic obstructive pulmonary disease (AECOPD).,"Disease, Acute Disease, Chronic Disease"
38279503,"For this purpose, a total of 65 patients with chronic obstructive pulmonary disease (COPD) treated in our hospital between June 2020 and June 2022 were enrolled and assigned to a research group, and 40 healthy individuals who underwent physical examination in our hospital over the same time spanning were enrolled into the control group.","Disease, Pulmonary Disease, Chronic Obstructive, Physical Examination, Chronic Disease"
38279503,"The two groups were compared in the levels of 25-hydroxyvitamin D (25(OH)D), interleukin-1β (IL-1β) and blood gas indexes (arterial carbon dioxide partial pressure (PaCO2) and arterial partial pressure of oxygen (PaO2).","Arterial Pressure, Blood Pressure"
38279502,"Cardiovascular disease, cancer, chronic respiratory disease, and diabetes are the main causes of death.","Disease, Death, Chronic Disease"
