Symptom,Related terms
Kearns-Sayre Syndrome,"Defibrillators, Implantable;Water-Electrolyte Imbalance;Anemia;Mutation;Dietary Supplements;Gene Deletion;COVID-19;Sclera;Diabetic Nephropathies;Magnetic Resonance Imaging;Ubiquinone;Eye Movements;Mitochondrial Diseases;Energy Metabolism;Induced Pluripotent Stem Cells;Death, Sudden, Cardiac;Blepharoptosis;Mitochondria, Heart;Myalgia;Postoperative Complications;Retinitis Pigmentosa;DNA, Mitochondrial;Atrioventricular Block;Myasthenia Gravis;Contact Lenses;Base Sequence;Point Mutation;Anesthesia;Patient Reported Outcome Measures;Oxidative Phosphorylation;Prophylactic Surgical Procedures;Phenotype;Charcot-Marie-Tooth Disease;MELAS Syndrome;Respiratory Insufficiency;Genetic Predisposition to Disease;Descemet Stripping Endothelial Keratoplasty;Tachycardia, Supraventricular;Clinical Deterioration;Computer Simulation;Heart Failure;Heart Diseases;Trinucleotide Repeats;Hypertension, Pulmonary;Bartter Syndrome;Gene Transfer Techniques;Electrocardiography;Eye Diseases;Phylogeny;Ophthalmoplegia;Retinal Diseases;Fundus Oculi;Sequence Deletion;Muscular Diseases;Nephritis, Interstitial;Ophthalmoplegia, Chronic Progressive External;Cochlear Implants;Kidney Diseases;Kearns-Sayre Syndrome;Dwarfism;Pacemaker, Artificial;Cochlear Implantation;Anesthetics;Intellectual Disability;White Matter;Heart Transplantation;Hormone Replacement Therapy;Subretinal Fluid;Retinoschisis;Dwarfism, Pituitary;Mitochondrial Myopathies;Propofol"
Ophthalmoplegic Migraine,"Neuralgia;Hippocampus;Pessaries;Margarine;Oculomotor Muscles;Tolosa-Hunt Syndrome;Cranial Nerves;Eye;Migraine Disorders;Electroencephalography;Paralysis;Cysts;Migraine with Aura;Radiography;Headache;Sphenoid Sinus;Diagnosis, Differential;Ergotamine;Pupil;Dimenhydrinate;Trochlear Nerve Diseases;Ophthalmoplegia;Ophthalmoplegic Migraine;Oculomotor Nerve Diseases;Exophthalmos;Sphenoid Bone;Neurilemmoma;Hyperthermia, Induced;Peripheral Nervous System Diseases;Syndrome;Suppositories;Disease;Mucocele;Oculomotor Nerve;Paranasal Sinus Diseases;Head Movements;Medical Records;Magnetic Resonance Imaging"
"Supranuclear Palsy, Progressive","Neurodegenerative Diseases;International Classification of Diseases;Delayed Diagnosis;Memory, Short-Term;Neurochemistry;Movement Disorders;Induced Pluripotent Stem Cells;Emotions;Aphasia, Primary Progressive;Positron-Emission Tomography;Mitochondrial Encephalomyopathies;Cerebellar Ataxia;Stroke;Physical Therapy Modalities;Cognitive Dysfunction;Schizencephaly;Brain;Deglutition Disorders;Lewy Body Disease;Disabled Persons;Parkinson Disease, Secondary;tau Proteins;Frontotemporal Lobar Degeneration;Neocortex;Death Certificates;Machine Learning;Mutation;Glial Fibrillary Acidic Protein;Encephalitis;Eyelid Diseases;Cognition Disorders;Parkinson Disease;Paraneoplastic Syndromes;Video Recording;Pick Disease of the Brain;Early Diagnosis;Synucleinopathies;Vesicular Monoamine Transport Proteins;Deep Learning;Sleep Wake Disorders;Dopamine Plasma Membrane Transport Proteins;Phenotype;Dementia;Third Ventricle;Supranuclear Palsy, Progressive;Alexander Disease;Extracellular Vesicles;Diffusion Tensor Imaging;Disease Progression;Globus Pallidus;Alzheimer Disease;Tomography, Emission-Computed, Single-Photon;Venous Thrombosis;Deep Brain Stimulation;Autonomic Nervous System Diseases;Sleep Initiation and Maintenance Disorders;Motor Disorders;Spinocerebellar Degenerations;Corticobasal Degeneration;Chronic Traumatic Encephalopathy;Motor Neuron Disease;Fluorodeoxyglucose F18;Blepharospasm;Brain Stem;Parasomnias;Saccades;Carbolines;Hydrocephalus, Normal Pressure;Agnosia;Wearable Electronic Devices;Nerve Net;Mental Disorders;Apraxias;Amyotrophic Lateral Sclerosis;Corpus Striatum;Neurons;Spinocerebellar Ataxias;Myoclonus;Frontotemporal Dementia;Selegiline;Parkinsonian Disorders;Neurofilament Proteins;Nerve Tissue Proteins;Astigmatism;Cerebral Palsy;Biomarkers;Asian People;Hypokinesia;Single-Domain Antibodies;Apathy;Proteostasis Deficiencies;Communication Disorders;Acupuncture Therapy;REM Sleep Behavior Disorder;Exercise Therapy;Discoidin Domain Receptor 2;Huntington Disease;Gastrostomy;Nystagmus, Pathologic;Theory of Mind;Neurological Rehabilitation;Acidosis, Lactic;Ocular Motility Disorders;Tauopathies;Multiple System Atrophy;Magnetic Resonance Imaging;Autoimmune Diseases of the Nervous System"
Paraplegia,"Intracranial Arteriosclerosis;Neurodegenerative Diseases;Thoracic Vertebrae;Granulomatosis with Polyangiitis;Shock, Hemorrhagic;Neuromyelitis Optica;Smartphone;Movement Disorders;Nervous System Diseases;Sjogren's Syndrome;Induced Pluripotent Stem Cells;Spondylitis, Ankylosing;Spinal Cord Injuries;Hematoma, Epidural, Spinal;Eosinophilia;Angiography;Pressure Ulcer;Churg-Strauss Syndrome;Leukemia, Promyelocytic, Acute;Spine;Reperfusion Injury;Hydrocephalus;Restless Legs Syndrome;Seasons;Adenosine Triphosphatases;Health Personnel;Homocystinuria;Cerebellar Ataxia;Stroke;Intervertebral Disc;Epilepsy;Postoperative Complications;Empathy;Shock, Septic;Cellulose, Oxidized;Cervical Vertebrae;Embolism, Fat;Spinal Cord Diseases;Lipomatosis;Caregivers;Retinal Dystrophies;Autoimmune Diseases;Hyperbaric Oxygenation;Occupational Therapy;Adrenoleukodystrophy;Klippel-Feil Syndrome;Femoral Fractures;Anesthesia, Epidural;Xanthomatosis, Cerebrotendinous;Quadriplegia;Sepsis;Sarcoma, Myeloid;Fecal Impaction;Lung Neoplasms;Spinal Fractures;Mutation;Rodenticides;HIV Infections;Pneumorrhachis;Parkinson Disease;Aortic Aneurysm, Thoracic;Vitamin B 12 Deficiency;Thrombosis;Martial Arts;Vascular Malformations;Intellectual Disability;Genetic Association Studies;Serine-tRNA Ligase;Diabetes Mellitus, Type 2;Vascular Diseases;Spinal Dysraphism;Myocutaneous Flap;Spastic Paraplegia, Hereditary;Myelitis;Phenotype;Dementia;HSP27 Heat-Shock Proteins;Neuromuscular Diseases;Aneurysm;Optic Atrophy;Ossification, Heterotopic;Self-Help Devices;Microcephaly;Hemangioma, Capillary;ATP Binding Cassette Transporter, Subfamily D, Member 1;Blood Substitutes;Optic Atrophy, Autosomal Dominant;Ischemic Attack, Transient;Anesthetics;Acceleration;Electric Stimulation Therapy;Heredodegenerative Disorders, Nervous System;Laparoscopy;Amino Acyl-tRNA Synthetases;Transcriptome;Ligamentum Flavum;Venous Thrombosis;Rhizotomy;Bone Diseases, Metabolic;Adaptor Protein Complex 4;Aortic Aneurysm, Thoracoabdominal;Wheelchairs;Bacterial Toxins;Shoulder Pain;Spinal Cord Stimulation;Resistance Training;Heat Stress Disorders;Spinal Injuries;Coinfection;Reflex, Abnormal;Skin Temperature;Propiophenones;Hemiplegia;Wounds, Gunshot;Foodborne Diseases;Psychotic Disorders;Liposarcoma;Exanthema;Heat-Shock Proteins;Adrenal Insufficiency;Cushing Syndrome;Schistosomiasis mansoni;Inpatients;Cysts;Plastic Surgery Procedures;Hemangioma, Cavernous;Mental Health;Spinal Cord Compression;Blood Vessel Prosthesis Implantation;Firearms;Vascular System Injuries;Neoplasms;Wearable Electronic Devices;Brown-Sequard Syndrome;Endovascular Procedures;Quality of Life;Anesthesia, Spinal;COVID-19;Amyotrophic Lateral Sclerosis;Intervertebral Disc Displacement;Spastin;Child Abuse;Spinocerebellar Ataxias;Epidural Neoplasms;Spinal Neoplasms;Hereditary Sensory and Motor Neuropathy;Parkinsonian Disorders;Mitochondrial Diseases;Diabetes Mellitus;Enterovirus D, Human;Water Sports;Yoga;Lipolysis;Glucosylceramidase;Hypotension;Paraplegia;Biomedical Research;Exoskeleton Device;Bone Marrow Diseases;Lipidomics;Paraparesis;Muscle Relaxants, Central;Baclofen;Aortic Aneurysm, Abdominal;Lupus Erythematosus, Systemic;Vasodilation;Cerebellar Diseases;Oxysterols;Hemangioma;Pneumonectomy;Body Temperature Regulation;Spinal Cord Ischemia;Joint Diseases;Cattle Diseases;Enterovirus Infections;Schizophrenia;Spinal Cord Neoplasms;Aortic Dissection;Renal Insufficiency;Dog Diseases;Cauda Equina Syndrome;Thoracic Neoplasms;Craniocerebral Trauma;Clostridium Infections;Cerebrovascular Disorders;Nystagmus, Pathologic;Robotics;Lipoma;Depression;Spondylarthritis;Sweating;Peripheral Nervous System Diseases;Melatonin;COVID-19 Vaccines;Brain-Computer Interfaces;Fecal Incontinence;Chitosan;Musculoskeletal Diseases;Amino Acid Metabolism, Inborn Errors;Hodgkin Disease;Hypertension;Ubiquinone;Lymphoma, Large B-Cell, Diffuse;Myelitis, Transverse;Magnetic Resonance Imaging"
Brown-Sequard Syndrome,"Intracranial Arteriosclerosis;Disability Evaluation;Dura Mater;Schools;Imaging, Three-Dimensional;Thoracic Vertebrae;Herpes Zoster;Medical History Taking;Wounds, Gunshot;Exanthema;Sjogren's Syndrome;Brain Stem;Spinal Cord Injuries;Spinal Cord Ischemia;Reading;Spinal Cord Compression;Research Support as Topic;Firearms;Vascular System Injuries;Aortic Dissection;Construction Industry;Brown-Sequard Syndrome;Myelitis;Central Cord Syndrome;Spinal Nerve Roots;Postoperative Complications;Ossification, Heterotopic;Parasites;Decompression Sickness;Herniorrhaphy;COVID-19;Physical Examination;Cervical Vertebrae;Intervertebral Disc Displacement;Research;Spondylarthritis;Electric Stimulation Therapy;Spinal Cord Diseases;Wounds, Stab;Age of Onset;Thrombolytic Therapy;Neurologic Examination;Klippel-Feil Syndrome;Ligamentum Flavum;COVID-19 Vaccines;Philately;Atlanto-Axial Joint;Breast Feeding;Water Sports;Postpartum Period;Fibrinolytic Agents;Arthrodesis;Upper Extremity;Myelitis, Transverse;Magnetic Resonance Imaging;Spinal Fractures"
Pseudobulbar Palsy,"Codon, Nonsense;Heart;Pseudobulbar Palsy;Pyramidal Tracts;Emotions;Tropical Medicine;Laryngeal Neoplasms;Larynx;Diagnosis, Differential;Receptors, Cell Surface;Repressor Proteins;Lateral Medullary Syndrome;History, Medieval;Stroke;Skull;Epilepsy;Postoperative Complications;Nursing Homes;Dysarthria;Bulbar Palsy, Progressive;Cognition;Brain;Deglutition Disorders;Basal Ganglia;Anticoagulants;Hand;Guidelines as Topic;Pineal Gland;Drug Therapy;Central Nervous System Stimulants;Dermatomyositis;Brain Neoplasms;Hospice Care;Patient Care Team;Muscles;Thrombosis;Aphasia, Broca;Intellectual Disability;Vagus Nerve;Vascular Diseases;Diagnosis;Cardiovascular System;Pathology;Ophthalmoplegia;Phenotype;Dementia;Perception;Aneurysm;Muscle Cramp;Supranuclear Palsy, Progressive;Laughter;Facial Paralysis;Chromosomal Proteins, Non-Histone;Family;Geriatrics;Pinealoma;Mitral Valve;Fluorodeoxyglucose F18;Psychotic Disorders;Brain Stem;Dermatitis, Seborrheic;Meningioma;Acupuncture Points;Arteries;Atrophy;Heart Atria;Quality of Life;Brain Diseases;Hyperostosis;Mental Disorders;Ganglia;Phonetics;Supratentorial Neoplasms;Amyotrophic Lateral Sclerosis;Patient Safety;Syndrome;Paresis;Parkinsonian Disorders;Medical Records;Disability Evaluation;Cerebellum;Suicide, Attempted;Voice Quality;Speech Disorders;Multiple Sclerosis;Cerebellar Diseases;Acupuncture Therapy;Paralysis;Speech Acoustics;Nutritional Status;Brain Injuries;Electroacupuncture;Histology;Intracranial Embolism;Mitral Valve Stenosis;Meningeal Neoplasms;Dystonia;Mastication;Statistics as Topic;Infant, Extremely Premature;Crying;Ventral Thalamic Nuclei;Speech;Meridians;Paraganglioma;Internal Capsule"
Quadriplegia,"Urinary Diversion;Hyperthyroidism;Neurodegenerative Diseases;Muscle Spasticity;Access to Information;Neuralgia;Spinal Cord;Neuromyelitis Optica;Movement Disorders;Graves Disease;Blood Glucose;Gastrectomy;Hypotension, Orthostatic;Home Care Services;Sjogren's Syndrome;Spinal Cord Injuries;Hematoma, Epidural, Spinal;Menopause;Odontoid Process;Sleep Apnea, Obstructive;Arterial Occlusive Diseases;Radiation Injuries;Pressure Ulcer;Reperfusion Injury;Transcranial Magnetic Stimulation;Seasons;Hydrocephalus;Tendon Transfer;Spinal Diseases;Pneumocephalus;Sleep Apnea Syndromes;Stroke;Epilepsy;Muscle Hypotonia;Addison Disease;Hypokalemic Periodic Paralysis;Brain;Cervical Vertebrae;Muscle, Skeletal;Thyrotoxicosis;Focus Groups;Activities of Daily Living;Spinal Cord Diseases;Psychomotor Performance;Disabled Persons;Diskectomy;Pregnancy Complications;Femoral Fractures;Quadriplegia;Sepsis;Decision Making;Expert Testimony;H-Reflex;Hand;Language Disorders;Dengue;Tabes Dorsalis;Mutation;Neurosyphilis;Encephalitis;Brain Neoplasms;Central Nervous System Diseases;Porphyrias;Muscles;Telomerase;Electrocorticography;Laminoplasty;Intellectual Disability;Cardiovascular Diseases;Consanguinity;Achondroplasia;Medicine;Laminectomy;Diabetes Mellitus, Type 2;Fibrin Fibrinogen Degradation Products;Myelinolysis, Central Pontine;Neurofeedback;Breast Neoplasms;Wrist;Sensation;Urinary Retention;Joint Instability;Myocutaneous Flap;Forearm;Social Participation;Myelitis;Ophthalmoplegia;Self-Help Devices;Neuromuscular Diseases;Smoking Cessation;Phenotype;Megalencephaly;Microcephaly;Musculoskeletal Pain;Nerve Transfer;Guillain-Barre Syndrome;DNA Copy Number Variations;Meningitis, Listeria;Robotic Surgical Procedures;Post-Concussion Syndrome;Mastitis;Anesthetics;Electric Stimulation Therapy;Acidosis, Renal Tubular;Aquaporins;Airway Obstruction;Depressive Disorder, Major;Joint Dislocations;Bone Diseases, Metabolic;West Nile Fever;Arteriovenous Malformations;Atlanto-Axial Joint;Developing Countries;Rhizotomy;Thumb;Motor Disorders;Arnold-Chiari Malformation;Arm;Arteriovenous Fistula;Wheelchairs;Leukoencephalopathies;Pneumonia;Brain Injuries, Traumatic;Lambert-Eaton Myasthenic Syndrome;Meningoencephalitis;Spinal Cord Stimulation;Sleep Apnea, Central;Manipulation, Chiropractic;Decompression, Surgical;Spinal Injuries;Neurofibromatosis 1;Neurology;Hypokalemia;Urinary Incontinence;Wounds, Gunshot;Butterflies;Inpatients;Electrodes, Implanted;Terminal Care;Fabry Disease;Infertility;Spinal Fusion;Spinal Cord Compression;Vibration;Metabolic Syndrome;Skiing;Nervous System Malformations;Wearable Electronic Devices;Eye Movements;Endovascular Procedures;Central Cord Syndrome;Quality of Life;Brain Diseases;Fractures, Malunited;Heart Transplantation;Hyperkalemia;Dyssomnias;Motor Cortex;Hockey;Colitis, Ulcerative;Acidosis;Walking;Polystyrenes;COVID-19;Amyotrophic Lateral Sclerosis;Sports for Persons with Disabilities;Fractures, Bone;GTP-Binding Protein beta Subunits;Oxygen Saturation;Qualitative Research;Neck Injuries;Ovarian Cysts;Respiration;Crush Injuries;Diabetes Mellitus;Tuberculosis, Central Nervous System;Cerebral Palsy;Upper Extremity;Cranial Nerve Diseases;Paraplegia;Spectroscopy, Near-Infrared;Crohn Disease;Exoskeleton Device;Foraminotomy;Brain Concussion;White Matter;Staphylococcal Infections;Locked-In Syndrome;Glioma;Exercise Therapy;Insect Repellents;Spinal Cord Ischemia;Ventilator Weaning;Central Nervous System Viral Diseases;Recovery of Function;Diarrhea;Spinal Cord Neoplasms;Cervical Cord;Tenodesis;Transcranial Direct Current Stimulation;Traction;Veterans;Craniocerebral Trauma;Porphyria, Acute Intermittent;Mucopolysaccharidosis IV;Kyphosis;Dystonia;Robotics;Median Nerve;Neurological Rehabilitation;Sweating;Speech;Ankle;Elbow;Cardiology;Brain-Computer Interfaces;Pelvic Bones;Vertebral Artery Dissection;Pinch Strength;Hypertension;Urinary Reservoirs, Continent;Neural Prostheses;Elbow Joint;Myelitis, Transverse;Magnetic Resonance Imaging;Autoimmune Diseases of the Nervous System"
Locked-In Syndrome,"Neurodegenerative Diseases;Neurosyphilis;Meningoencephalitis;Wheelchairs;Alpha Rhythm;Folic Acid Deficiency;Foraminotomy;Pons;White Matter;Electrocorticography;Neurology;Signal Processing, Computer-Assisted;Butterflies;Locked-In Syndrome;Electroencephalography;Medicine;Arterial Occlusive Diseases;Myelinolysis, Central Pontine;Electrodes, Implanted;Terminal Care;User-Computer Interface;Eye Movement Measurements;Ethics, Medical;Endovascular Procedures;Stroke;Transcranial Direct Current Stimulation;Quality of Life;Heart Transplantation;Neural Networks, Computer;Consciousness;Craniocerebral Trauma;Stroke Rehabilitation;Nonverbal Communication;Guillain-Barre Syndrome;Amyotrophic Lateral Sclerosis;Cognition;Meningitis, Listeria;Cervical Vertebrae;Communication;Anesthetics;Diffusion Tensor Imaging;Syphilis;Disabled Persons;Betacoronavirus;Hyperhomocysteinemia;Brain-Computer Interfaces;Decision Making;Patient Preference;Vertebral Artery Dissection;Inventions;Motor Disorders;Communication Aids for Disabled;Evoked Potentials, Somatosensory;Cranial Nerve Diseases;Magnetic Resonance Imaging"
Respiratory Paralysis,"Respiratory Paralysis;Tachypnea;Electrodes;Continuous Positive Airway Pressure;Snake Bites;Disease Models, Animal;Sleep Apnea, Obstructive;Peripheral Nerve Injuries;Mucociliary Clearance;Neuromuscular Nondepolarizing Agents;Brachial Plexus;Sleep Apnea Syndromes;Anastomotic Leak;Ultrasonography, Interventional;Exercise Test;Postoperative Complications;Brachial Plexus Block;Bulbar Palsy, Progressive;Contracture;Phrenic Nerve;Diaphragm;Infant, Very Low Birth Weight;Anesthesia, Conduction;Fontan Procedure;Cardiac Surgical Procedures;Cervical Plexus Block;Spinal Cord Diseases;Succinylcholine;Cough;Charcot-Marie-Tooth Disease;Forecasting;Survival Analysis;Pressure;Respiratory Function Tests;Metabolism, Inborn Errors;Esophagus;Lung Neoplasms;Equipment Failure;Lyme Neuroborreliosis;Brachial Plexus Neuritis;Liver Transplantation;Patient Care Team;Arthroscopy;Neuromuscular Blockade;Crotalid Venoms;Early Diagnosis;Acellular Dermis;Respiratory Insufficiency;Artifacts;Radiosurgery;Neural Conduction;Vascular Diseases;Hepatitis E;Stomach;Intubation, Intratracheal;Calcinosis;Apnea;Guillain-Barre Syndrome;Neurofibroma;Robotic Surgical Procedures;Anesthetics;Laparoscopy;Cytoreduction Surgical Procedures;Practice Guidelines as Topic;Esophageal Achalasia;Ventilators, Mechanical;Hepatitis E virus;Spinal Cord Stimulation;Diaphragmatic Eventration;Botulinum Toxins;Neurotoxicity Syndromes;Plastic Surgery Procedures;Shoulder;Nomograms;Awareness;Quality of Life;Radionuclide Imaging;Thoracic Diseases;Respiration Disorders;Four-Dimensional Computed Tomography;COVID-19;Thoracic Surgery, Video-Assisted;Paresis;Neoplasm Staging;Botulism;Treatment Outcome;Mediastinal Cyst;Autonomic Nerve Block;Arthroplasty, Replacement, Shoulder;Pulmonary Medicine;Suicide, Attempted;Infusion Pumps, Implantable;Coronary Artery Bypass;Obesity, Morbid;Dyspnea;Pacemaker, Artificial;Lung Transplantation;Ventilator Weaning;Patient Positioning;Inhalation;Infant, Premature;Robotics;Airway Extubation;Critical Illness;Peripheral Nervous System Diseases;Medication Errors;Birth Injuries;Tubulin;Magnetic Resonance Imaging;Blalock-Taussig Procedure"
Vocal Cord Paralysis,"Herpes Zoster;Gastroesophageal Reflux;Stroboscopy;Disease Models, Animal;Heart Defects, Congenital;Graves Disease;Burkholderia pseudomallei;Hemorrhagic Stroke;Vocal Cords;Esophageal Neoplasms;Laryngeal Neoplasms;Larynx;Hydrocephalus;Osteophyte;Sleep Apnea Syndromes;Pyriform Sinus;Stroke;Epilepsy;Postoperative Complications;Abscess;Adenocarcinoma;Thyroid Gland;Cervical Vertebrae;Deglutition Disorders;Cardiac Surgical Procedures;Hypersensitivity;Accidental Injuries;Laryngeal Muscles;Natural Orifice Endoscopic Surgery;Autoimmune Diseases;Cat Diseases;High-Intensity Focused Ultrasound Ablation;Polyhydramnios;Thyroid Neoplasms;Voice Disorders;Lung Neoplasms;Machine Learning;Hypoparathyroidism;Horner Syndrome;Hypoglossal Nerve Diseases;Laryngoplasty;Aortic Aneurysm, Thoracic;Laryngoscopy;Aortic Aneurysm;Respiratory Insufficiency;Neurolymphomatosis;Deep Learning;Radiosurgery;Hypocalcemia;Horse Diseases;Recurrent Laryngeal Nerve Injuries;Hernia, Hiatal;Ductus Arteriosus, Patent;Laryngeal Diseases;Goiter, Nodular;Hypothyroidism;Neuritis;Cardiovascular Abnormalities;Pneumonia, Bacterial;Vocal Cord Paralysis;Guillain-Barre Syndrome;Laryngeal Edema;Vocal Cord Dysfunction;Robotic Surgical Procedures;Electric Stimulation Therapy;Otolaryngologists;Airway Obstruction;Goiter;Severity of Illness Index;Pulmonary Aspergillosis;Melioidosis;Tuberculosis, Meningeal;Dysphonia;Laryngeal Masks;Pneumonia;Artificial Intelligence;Speech Therapy;Carcinoma, Non-Small-Cell Lung;Recurrent Laryngeal Nerve;Croup;Thyroid Nodule;Respiratory Distress Syndrome;Parapharyngeal Space;Otolaryngology;Cordotomy;Plastic Surgery Procedures;Vagus Nerve Stimulation;Aneurysm, False;Neoplasms;Atrophy;Fistula;Quality of Life;Brain Diseases;One-Lung Ventilation;Muscular Atrophy, Spinal;COVID-19;Speech Perception;Hyperparathyroidism;Lasers, Gas;Moxibustion;Carcinoma;Dextrans;Laryngomalacia;Hereditary Sensory and Motor Neuropathy;Hoarseness;Tremor;Esophageal Atresia;Costal Cartilage;Thyroid Diseases;Cranial Nerve Diseases;Voice Quality;Myasthenia Gravis;Lupus Erythematosus, Systemic;Laser Therapy;Acupuncture Therapy;Arthritis, Rheumatoid;Ultrasonography;Voice;Carcinoma, Papillary;Carotid Artery, Internal;Thyroidectomy;Dog Diseases;Encephalomyelitis;Laryngoscopes;Foreign Bodies;Electromyography;Decision Support Systems, Clinical;Polyps;Trust;Ischemic Stroke;Dyskinesias;Thyroid Crisis;Pneumonia, Aspiration;Nerve Regeneration;Uterine Neoplasms;COVID-19 Vaccines;Arthrogryposis;Lymphoma, Large B-Cell, Diffuse"
Paresis,"Low Back Pain;Muscle Spasticity;Respiratory Paralysis;Thoracic Vertebrae;Herpes Zoster;Epilepsies, Myoclonic;Neuromuscular Agents;Intervertebral Disc Degeneration;Cerebral Peduncle;Nervous System Diseases;Spinal Cord Injuries;Hematoma, Epidural, Spinal;Blepharoptosis;Sleep Apnea, Obstructive;Peripheral Nerve Injuries;Migraine with Aura;Vocal Cords;Spine;Muscle Strength;Quadriceps Muscle;Spinal Diseases;Homocystinuria;Tenotomy;Stroke;Pudendal Nerve;Epilepsy;Physical Therapy Modalities;Postoperative Complications;Endometriosis;Stroke Rehabilitation;Brachial Plexus Block;Contracture;DNA-Binding Proteins;Phrenic Nerve;Diaphragm;Nerve Block;Brain;Persian Gulf Syndrome;Neurosurgical Procedures;Muscle, Skeletal;Deglutition Disorders;Spinal Cord Diseases;Activities of Daily Living;Lipomatosis;Gout;Paraparesis, Spastic;Parotid Neoplasms;Autoimmune Diseases;Hyperbaric Oxygenation;Intracranial Aneurysm;Anesthesia, Epidural;Cat Diseases;Osteoporosis;Borrelia;Respiratory Muscles;Thyroid Neoplasms;Spinal Fractures;Orthotic Devices;Lyme Neuroborreliosis;Thoracic Surgical Procedures;Encephalitis;Horner Syndrome;Brain Neoplasms;Hypoglossal Nerve Diseases;Brachial Plexus Neuritis;Sarcopenia;HIV Infections;Astrocytoma;Organophosphate Poisoning;Aortic Aneurysm, Thoracic;Parkinson Disease;Thrombosis;Enterovirus;Sturge-Weber Syndrome;Botulinum Toxins, Type A;Vascular Malformations;Adenoma;Glaucoma;Laminectomy;Infarction, Middle Cerebral Artery;Diabetes Mellitus, Type 2;Polyradiculoneuropathy;Sleep Wake Disorders;Otitis Media;Vascular Diseases;Ankle Joint;Urinary Retention;Tendons;Laryngeal Diseases;Psychophysiologic Disorders;Spastic Paraplegia, Hereditary;Myelitis;Gait;Ophthalmoplegia;Neuromuscular Diseases;Movement;Skull Fracture, Basilar;Brain Ischemia;Mononeuropathies;Vocal Cord Paralysis;Quality Improvement;Hemangioma, Cavernous, Central Nervous System;Guillain-Barre Syndrome;Anxiety;Robotic Surgical Procedures;Bell Palsy;Arthroplasty, Replacement, Hip;Hemiarthroplasty;Aortic Coarctation;Vertebrobasilar Insufficiency;Oculomotor Nerve;Facial Paralysis;Alzheimer Disease;Joint Dislocations;West Nile Fever;Autonomic Nervous System Diseases;Polymicrogyria;Pituitary Neoplasms;Muscle Weakness;Adenolymphoma;Breathing Exercises;Aortic Aneurysm, Thoracoabdominal;Pneumonia;Independent Living;Skull Fractures;Spinal Cord Stimulation;Syringomyelia;Drug Resistant Epilepsy;Seizures, Febrile;Reflex, Abnormal;Pulmonary Disease, Chronic Obstructive;Central Nervous System Vascular Malformations;Hypokalemia;Hemiplegia;Tolosa-Hunt Syndrome;Botulinum Toxins;Exanthema;Migraine Disorders;Hemangioma, Cavernous;Sciatica;Encephalitis, Tick-Borne;Stroke, Lacunar;Gastric Dilatation;Distal Myopathies;Alternative Splicing;Spinal Cord Compression;Cysts;Shoulder;Virtual Reality;Muscular Dystrophies, Limb-Girdle;Blood Vessel Prosthesis Implantation;Urination;Postural Balance;Nervous System Malformations;Gastroparesis;Bone Neoplasms;Wearable Electronic Devices;Brown-Sequard Syndrome;Proprioception;Endovascular Procedures;Quality of Life;Osteosarcoma;Poisoning;Brain Diseases;Fingers;Muscular Dystrophies;Radiofrequency Ablation;Motor Cortex;Thoracic Diseases;Weight-Bearing;Walking;Muscular Atrophy, Spinal;Amyotrophic Lateral Sclerosis;Bone Cysts, Aneurysmal;COVID-19;Fractures, Bone;Hyponatremia;Intervertebral Disc Displacement;Low-Level Light Therapy;Status Epilepticus;Tropomyosin;Spinal Neoplasms;Paresis;Angiolipoma;Essential Tremor;Consciousness Disorders;Cerebral Palsy;Klinefelter Syndrome;Head and Neck Neoplasms;Upper Extremity;Paraplegia;Fractures, Compression;Malnutrition;Liver Neoplasms;Kyphoplasty;Exoskeleton Device;Paraparesis;Aphasia;Baclofen;Demyelinating Diseases;White Matter;Spinal Curvatures;Enteral Nutrition;Aortic Aneurysm, Abdominal;Lupus Erythematosus, Systemic;Multiple Sclerosis;Earthquakes;Pacemaker, Artificial;Calpain;Glioma;Soft Tissue Neoplasms;Acupuncture Therapy;Exercise Therapy;Myotonic Dystrophy;Amyloidosis;Ultrasonography;Spinal Cord Ischemia;Pituitary Apoplexy;Ataxia;Central Nervous System Viral Diseases;Enterovirus Infections;Heart Failure;Recovery of Function;Otitis Externa;Aortic Dissection;Renal Insufficiency;Artificial Limbs;Diffuse Cerebral Sclerosis of Schilder;Coronary Artery Disease;Dog Diseases;Transcription Factors;Phascolarctidae;Transcranial Direct Current Stimulation;Cervical Cord;Neural Networks, Computer;Electromyography;Veterans;Brain Injuries;Tissue Plasminogen Activator;Peroneal Neuropathies;Infant, Premature;Ischemic Stroke;Oculomotor Nerve Diseases;Robotics;Wound Infection;Gait Disorders, Neurologic;Hearing Loss, Sensorineural;Dyskinesias;Critical Illness;Depression;Neurological Rehabilitation;Glass;Peripheral Nervous System Diseases;Magnetic Resonance Imaging;Femoral Neck Fractures;Brain-Computer Interfaces;Hypertension;Elbow Joint;Foot Orthoses;Extracorporeal Shockwave Therapy;Carcinoma, Hepatocellular;Orthopedics"
