Symptom,Disease
scrotal abscess,urethral disease;iritis;urethral stricture;chromoblastomycosis;mastocytosis;peritonitis;brucellosis;Klebsiella pneumonia;periostitis;epididymitis;dermatomycosis;rhinitis;lymphoblastic lymphoma;plasmablastic lymphoma;actinomycosis;neuronitis;tracheitis;rectal disease;periodontitis;urinary tract infection;retinal disease;periodontal disease;rubella;bronchitis;trigonitis;epididymo-orchitis;ureteral disease;appendicitis;Clostridium difficile colitis;blastomycosis;pericoronitis;spermatic cord torsion;orchitis;tendinitis;anorectal stricture;lobomycosis;otomycosis
severe abdominal cramp,gastrointestinal carcinoma;cholecystolithiasis;Kleefstra syndrome;monogenic disease;Norrie disease;choledocholithiasis;ileitis;myotonic disease;cholelithiasis;ileus;COVID-19;nose disease;pharyngitis;gastrointestinal adenoma;coronary artery vasospasm;acquired immunodeficiency syndrome;duodenum disease;intestinal disease;cerebrovascular disease;rectal disease;cholangitis;colonic disease;gallbladder disease;cecal disease;laryngitis;fucosidosis;bladder disease;urethral syndrome;Caroli disease;coccidiosis;Clostridium difficile colitis;uveal disease;bile duct disease;acute cholangitis;gastrointestinal system cancer;gastrointestinal system disease;colitis;sarcoidosis;polygenic disease;pericholangitis
severe diarrhea,gastrointestinal carcinoma;dysentery;hair disease;inflammatory bowel disease 20;inflammatory bowel disease 14;inflammatory bowel disease 1;inflammatory bowel disease 5;ileitis;eyelid disease;inflammatory bowel disease 29;inflammatory bowel disease 15;inflammatory bowel disease 25;inflammatory bowel disease 8;kidney disease;COVID-19;Tangier disease;leukopenia;inflammatory bowel disease 6;Danon disease;inflammatory bowel disease 23;gastrointestinal adenoma;inflammatory bowel disease 27;inflammatory bowel disease 24;inflammatory bowel disease 16;lupus nephritis;inflammatory bowel disease 2;neuronitis;irritable bowel syndrome;campylobacteriosis;inflammatory bowel disease 7;inflammatory bowel disease 19;intestinal disease;heart disease;neutropenia;inflammatory bowel disease 4;inflammatory bowel disease;Hartnup disease;inflammatory bowel disease 18;acrodermatitis;inflammatory bowel disease 12;Coronavirus infectious disease;cholera;inflammatory bowel disease 9;neuritis;astroblastoma;retinal disease;spinal disease;acute pancreatitis;Caroli disease;inflammatory bowel disease 26;nephritis;lichen disease;diarrhea;Hirata disease;inflammatory bowel disease 21;inflammatory bowel disease 11;inflammatory bowel disease 17;celiac disease;pancreatitis;biotin deficiency;Coats disease;pneumonia;inflammatory bowel disease 13;inflammatory bowel disease 3;inflammatory bowel disease 10;gastrointestinal system cancer;gastrointestinal system disease;colitis;iris disease;nail disease;gastroenteritis;inflammatory bowel disease 30;vitamin B12 deficiency;lip disease;inflammatory bowel disease 28;inflammatory bowel disease 22
severe myalgia,choreatic disease;hepatic vascular disease;Ehlers-Danlos syndrome classic type 1;depressive disorder;shigellosis;hypokalemia;Ehlers-Danlos syndrome classic type 2;brucellosis;encephalitis;neuromuscular disease;Ehlers-Danlos syndrome;COVID-19;musculoskeletal system disease;pharyngitis;mixed connective tissue disease;rheumatic disease;IgA pemphigus;encephalomyelitis;myositis;erythromelalgia;fibromyalgia;connective tissue disease;cardiovascular system disease;polymyalgia rheumatica;cerebrovascular disease;muscular disease;autoimmune disease;cholangitis;cystitis;rheumatic heart disease;testicular disease;chikungunya;trichinosis;pyomyositis;laryngitis;central nervous system disease;nephritis;nasopharyngitis;pemphigus;viral encephalitis;vascular disease;Ehlers-Danlos syndrome classic-like 2;exanthem;vascular type Ehlers-Danlos syndrome;musculoskeletal system cancer;nervous system disease;Ehlers-Danlos syndrome classic-like 1
spleen abscess,choreatic disease;inflammatory bowel disease 14;inflammatory bowel disease 1;inflammatory bowel disease 5;bladder tuberculosis;peritonitis;inflammatory bowel disease 29;nocardiosis;keratitis;gangliosidosis;inflammatory bowel disease 6;pica disease;inflammatory bowel disease 16;inflammatory bowel disease 19;type 1 diabetes mellitus;inflammatory bowel disease 4;spinal disease;endocarditis;Rett syndrome;inflammatory bowel disease 21;inflammatory bowel disease 17;oral tuberculosis;inflammatory bowel disease 10;myocarditis;bone disease;inflammatory bowel disease 22;cryptococcosis;melioidosis;inflammatory bowel disease 15;inflammatory bowel disease 25;West syndrome;periostitis;COVID-19;Seckel syndrome;lymphangioma;hepatitis A;Crohn's disease;Sweet syndrome;inflammatory bowel disease 24;hepatitis C;prostate disease;renal tuberculosis;neuronitis;intestinal disease;inflammatory bowel disease;inflammatory bowel disease 9;pyomyositis;retinal disease;botulism;Caroli disease;myelofibrosis;aortic disease;Reye syndrome;inflammatory bowel disease 13;lymphangiosarcoma;inflammatory bowel disease 20;penile disease;Klebsiella pneumonia;musculoskeletal system disease;hepatitis B;inflammatory bowel disease 23;inflammatory bowel disease 27;ocular tuberculosis;rhinitis;Carrion's disease;paratyphoid fever;myositis;inflammatory bowel disease 2;amyloidosis;hepatitis E;diabetes mellitus;hepatitis D;inflammatory bowel disease 18;inflammatory bowel disease 12;cystitis;Muenke Syndrome;pancreas disease;refractory T lymphoblastic leukemia/lymphoma;trigonitis;echinococcosis;inflammatory bowel disease 26;oral candidiasis;cystic echinococcosis;type 2 diabetes mellitus;gastrointestinal system cancer;tuberculosis;musculoskeletal system cancer;polygenic disease;dermatitis;inflammatory bowel disease 8;atrioventricular block;prion disease;gastrointestinal adenoma;lens disease;rheumatic disease;hemangioma;inflammatory bowel disease 7;splenic disease;lymphoma;periodontitis;Behr syndrome;Meckel syndrome;candidiasis;typhoid fever;Clostridium difficile colitis;inflammatory bowel disease 11;pericoronitis;anisakiasis;parotitis;inflammatory bowel disease 3;gastrointestinal system disease;balantidiasis;ureter tuberculosis;hepatitis;inflammatory bowel disease 30;inflammatory bowel disease 28
staggering gait,noma;viral encephalitis;encephalomyelitis;encephalitis;nephritis
stiff neck,Norrie disease;phimosis;spondylitis;calcinosis;ptosis;nose disease;musculoskeletal system disease;osteoblastoma;retinitis;neuroblastoma;pineoblastoma;fibromyalgia;spondylosis;blastoma;kyphosis;meningitis;medulloblastoma;spondylolisthesis;myofascial pain syndrome;spondylolysis;retinoblastoma;myoblastoma;glioblastoma;ameloblastoma;hepatoblastoma;bone ameloblastoma;tendinitis;nephroblastoma;medullomyoblastoma;musculoskeletal system cancer;nephrocalcinosis;chondrocalcinosis
neck symptom,
throat symptom,
mouth symptom,
head symptom,
nose symptom,
stupor,enophthalmos;COVID-19;buphthalmos;vein disease;nanophthalmos;myiasis;lagophthalmos;glaucoma;intestinal disease;rectal disease;ophthalmomyiasis;Graves ophthalmopathy;retinal disease;spinal disease;hydrophthalmos;substance-related disorder;ophthalmoplegia;central nervous system disease;strabismus;xerophthalmia;nail disease;nervous system disease
thyroid symptom,
thyroid abscesses,Mahvash Disease;choroid disease;aortitis;crescentic glomerulonephritis;nasopharyngeal disease;hypertrichosis;scleritis;brucellosis;Graves' disease;adenosarcoma;gastritis;hypotrichosis;thyroiditis;ovarian carcinosarcoma;breast disease;Danon disease;membranous glomerulonephritis;fasciitis;autoimmune glomerulonephritis;cutaneous mycosis;diffuse glomerulonephritis;mucormycosis;Brucella melitensis brucellosis;actinomycosis;gastric liposarcoma;vagina sarcoma;granulomatous dermatitis;pyelonephritis;mastoiditis;IgA glomerulonephritis;vasculitis;choroiditis;cystitis;thyrotoxicosis;angiosarcoma;granulomatous hepatitis;adenoma;mastitis;larynx sarcoma;panniculitis;Gorham's disease;exudative glomerulonephritis;granulomatous endometritis;gliosarcoma;granulomatous myositis;granulomatous gastritis;granulomatous angiitis;laryngeal disease;carcinosarcoma;noma;granulomatous orchitis;vesiculitis;brain sarcoma;orbital cellulitis;myeloid neoplasm;subacute glomerulonephritis;vaginal carcinosarcoma;uterine carcinosarcoma;otomycosis;liposarcoma;astigmatism;acute thyroiditis;Krabbe disease;glomerulonephritis
ear symptom,
tinnitus,hyperglycemia;penile disease;Menkes disease;COVID-19;Tangier disease;dermatomycosis;intracranial hypotension;hydrocephalus;myositis;Meniere's disease;adult dermatomyositis;diabetes mellitus;type 1 diabetes mellitus;Takayasu's arteritis;cholera;pyomyositis;dermatomyositis;pseudotumor cerebri;intracranial hypertension;polymyositis;liver disease;type 2 diabetes mellitus;dermatophytosis;essential hypertension;dermatitis
muscle twitching,amyotrophic lateral sclerosis type 4;tauopathy;amyotrophic lateral sclerosis type 1;amyotrophic lateral sclerosis type 24;epilepsy;hereditary sensory and autonomic neuropathy type 2A;encephalitis;polyneuropathy;neuromuscular disease;amyotrophic lateral sclerosis type 9;amyotrophic lateral sclerosis type 5;COVID-19;peroneal neuropathy;myelitis;amyotrophic lateral sclerosis type 6;hereditary sensory and autonomic neuropathy type 1A;encephalomyelitis;atrophic muscular disease;amyotrophic lateral sclerosis type 26;polyradiculopathy;amyotrophic lateral sclerosis type 10;facial nerve disease;amyotrophic lateral sclerosis type 22;hereditary sensory and autonomic neuropathy type 2;amyotrophic lateral sclerosis type 28;hereditary sensory and autonomic neuropathy type 8;amyotrophic lateral sclerosis type 25;cerebrovascular disease;muscular disease;amyotrophic lateral sclerosis type 20;amyotrophic lateral sclerosis type 8;amyotrophic lateral sclerosis type 12;amyotrophic lateral sclerosis type 7;hereditary sensory and autonomic neuropathy type 2B;hereditary sensory and autonomic neuropathy type 6;testicular disease;amyotrophic lateral sclerosis type 3;sporatic amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 11;radiculopathy;amyotrophic lateral sclerosis type 21;osteomyelitis;migraine with aura;poliomyelitis;amyotrophic lateral sclerosis;neuromuscular junction disease;nephritis;hereditary sensory and autonomic neuropathy type 1C;amyotrophic lateral sclerosis type 13;viral encephalitis;vascular disease;amyotrophic lateral sclerosis type 16;motor neuron disease;amyotrophic lateral sclerosis type 19;multiple sclerosis;hereditary sensory and autonomic neuropathy type 7;amyotrophic lateral sclerosis type 23;succinylcholine allergy;migraine without aura;hereditary sensory and autonomic neuropathy type 5;hereditary sensory and autonomic neuropathy type 1;amyotrophic lateral sclerosis type 18;amyotrophic lateral sclerosis type 15;amyotrophic lateral sclerosis type 2;cranial nerve disease
facial muscle twitching,amyotrophic lateral sclerosis type 4;amyotrophic lateral sclerosis type 1;amyotrophic lateral sclerosis type 24;amyotrophic lateral sclerosis type 9;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 6;amyotrophic lateral sclerosis type 26;facial nerve disease;amyotrophic lateral sclerosis type 10;amyotrophic lateral sclerosis type 22;amyotrophic lateral sclerosis type 28;amyotrophic lateral sclerosis type 20;amyotrophic lateral sclerosis type 25;amyotrophic lateral sclerosis type 8;amyotrophic lateral sclerosis type 7;amyotrophic lateral sclerosis type 12;amyotrophic lateral sclerosis type 3;sporatic amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 11;amyotrophic lateral sclerosis type 21;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 13;amyotrophic lateral sclerosis type 16;amyotrophic lateral sclerosis type 19;multiple sclerosis;amyotrophic lateral sclerosis type 23;amyotrophic lateral sclerosis type 18;amyotrophic lateral sclerosis type 15;amyotrophic lateral sclerosis type 2;cranial nerve disease
mydriasis,cataract 33;glossopharyngeal nerve disease;cataract 36;nasopharyngeal disease;pain disorder;cataract 44;Miller Fisher syndrome;cataract 47;diabetic angiopathy;myiasis;eye disease;cataract 48;blepharophimosis;cataract 43;entropion;glaucoma;hypohidrosis;heart disease;diabetes mellitus;glossopharyngeal nerve neoplasm;trigeminal neuralgia;coloboma;type 1 diabetes mellitus;cataract 38;myopia;cataract 7;corneal disease;cataract 37;optic neuritis;hypertension;cataract 29;diabetic neuropathy;substance-related disorder;diabetic encephalopathy;ophthalmoplegia;cataract 25;cataract 27;strabismus;aphasia;herpes zoster oticus;glossopharyngeal nerve paralysis;cataract;cataract 28;cataract 40;cataract 24;migraine with aura;ectropion;diabetic retinopathy;cataract 23;cataract 45;cataract 30;Lyme disease;cataract 18;type 2 diabetes mellitus;Coats disease;cataract 42;cataract 35;corneal edema;iris disease;migraine without aura;astigmatism;lens subluxation;cataract 41;blepharitis;renal hypertension
unreactive mydriasis,
vaginal discharge,Bartter disease;pharynx carcinoma in situ;endometritis;keratosis;infertility;bladder carcinoma in situ;otorrhea;Klebsiella pneumonia;stomach carcinoma in situ;ptosis;Chlamydia pneumonia;vein disease;gingivitis;uterine disease;lung carcinoma in situ;penis carcinoma in situ;hydrocephalus;gastrinoma;pelvic inflammatory disease;myositis;intestine carcinoma in situ;uterine inflammatory disease;vaginal discharge;cervix endometriosis;Ollier disease;colon carcinoma in situ;leukorrhea;adenocarcinoma in situ;inflammatory bowel disease;adenocarcinoma;esophagus carcinoma in situ;cystitis;liver carcinoma in situ;exostosis;pulmonary adenocarcinoma in situ;pyomyositis;rectum carcinoma in situ;acute endometritis;trachea carcinoma in situ;male infertility;endometrium carcinoma in situ;bacteriuria;sarcoma;larynx carcinoma in situ;Trichomonas vaginalis trichomoniasis;Castleman disease;breast carcinoma in situ;uterus carcinoma in situ;eye carcinoma;liver disease;vaginitis;anal carcinoma in situ;skin carcinoma in situ;ductal carcinoma in situ;amenorrhea;Coats disease;endometriosis;small cell carcinoma;eye carcinoma in situ;lip carcinoma in situ;carcinoma;gonorrhea;kidney carcinoma in situ;pyometritis
vertigo,hair disease;Parkinson's disease 17;Parkinsonism;retinal ischemia;penile disease;arthritis;Parkinson's disease 6;Menkes disease;louping ill;myoma;COVID-19;Tangier disease;tricuspid valve insufficiency;Gerstmann syndrome;Danon disease;prion disease;dermatomycosis;mitral valve insufficiency;pancytopenia;Fabry disease;hydrocephalus;autonomic nervous system neoplasm;autonomic nervous system disease;vestibular disease;myositis;lateral medullary syndrome;Parkinson's disease 1;Parkinson's disease;benign paroxysmal positional vertigo;Meniere's disease;adult dermatomyositis;Parkinson's disease 4;brain ischemia;focal labyrinthitis;nephrotic syndrome;Netherton syndrome;artery disease;Parkinson's disease 23;Takayasu's arteritis;autonomic nervous system benign neoplasm;Noonan syndrome;Parkinson's disease 19A;testicular disease;vertebral artery insufficiency;labyrinthitis;pyomyositis;Parkinson's disease 15;hypertension;dermatomyositis;toxic labyrinthitis;Sotos syndrome;vestibular neuronitis;aortic valve insufficiency;Parkinson's disease 2;Parkinson's disease 21;polymyositis;Parkinson's disease 7;liver disease;Parkinson's disease 14;viral labyrinthitis;serous labyrinthitis;Parkinson's disease 22;Parkinson's disease 8;ischemia;biotin deficiency;Parkinson's disease 3;dermatophytosis;vitamin B12 deficiency;Parkinson's disease 20;Parkinson's disease 25;secondary Parkinson disease;nervous system disease;dermatitis;renal hypertension
weak cry,
wobble,
cachexia,pancytopenia;kwashiorkor;obesity;oral tuberculosis;muscular atrophy;coccidiosis;overnutrition;carcinoma;ptosis;gastrointestinal carcinoma;sclerosteosis;protein-energy malnutrition;measles;sarcoma;muscular dystrophy;mucopolysaccharidosis;alexia;paratyphoid fever;mucopolysaccharidosis I;pneumonia;fucosidosis;Miyoshi muscular dystrophy;typhoid fever;renal tuberculosis;dysentery;sarcoidosis;spinal muscular atrophy;tuberculosis
weight gain,papillary craniopharyngioma;glycogen metabolism disorder;obesity;renal hypertension;hepatic vascular disease;metal metabolism disorder;overnutrition;pre-eclampsia;eclampsia;pituitary hypoplasia;cardiovascular system disease;hypertension;gastroesophageal cancer;hyperglycemia;postpartum depression;COVID-19;polycythemia;hypoglycemia;craniopharyngioma;diabetes mellitus;vascular disease;glucose metabolism disease;gastroesophageal reflux disease;lipid metabolism disorder;cerebrovascular disease;hypoglycemic coma
dyspareunia,uveal disease;urinary tract infection;cervix endometriosis;discitis;vaginal discharge;anismus;endometriosis;rectal disease;vaginal disease;gingival disease;male infertility;spinal disease;nail disease;iritis;myofascial pain syndrome;retinal disease;endometritis;cecal disease;infertility
vaginismus,cervix endometriosis;bipolar disorder;polycystic ovary syndrome;COVID-19;bipolar ll disorder;bipolar I disorder;anismus;endometriosis;endometritis
bruise,bone disease;osteoarthritis;central nervous system lipoma;carcinoma;neuromuscular disease;central nervous system disease;central nervous system teratoma;corneal disease;eye carcinoma;nose disease;pneumothorax;hemopneumothorax;Coats disease;anterior compartment syndrome;pericardial effusion;compartment syndrome;sarcoma;gastrinoma;tongue disease;heart disease;myeloproliferative disorder with eosinophilia;myocardial infarction;Castleman disease;Bartter disease;Carpenter syndrome
syncope,lipomatosis;renal hypertension;otosclerosis 1;otosclerosis 8;aortic atherosclerosis;leiomyomatosis;hemosiderosis;otosclerosis 2;familial atrial fibrillation;osteosclerosis;atrial fibrillation;otosclerosis 7;otosclerosis 3;aortic disease;glomerulosclerosis;hypertension;otosclerosis 4;tuberous sclerosis 1;nephrosclerosis;coronary artery vasospasm;coronary artery disease;hyperglycemia;hyperopia;renal artery disease;otosclerosis 10;tuberous sclerosis 2;COVID-19;tricuspid valve stenosis;polycythemia;artery disease;otosclerosis 5;cerebral atherosclerosis;hypoglycemia;atrioventricular block;Hirata disease;postural orthostatic tachycardia syndrome;heart disease;epilepsy;otosclerosis 11;arteriolosclerosis;arteriosclerosis;tuberous sclerosis;Hartnup disease;aortic valve stenosis;otosclerosis;lateral sclerosis;pulmonary artery disease;calciphylaxis;leiomyoma cutis;atherosclerosis;breast disease;hypoglycemic coma
cataplexy,papillary craniopharyngioma;renal hypertension;encephalitis;narcolepsy;central nervous system disease;esophagitis;pituitary hypoplasia;nasopharyngitis;hypertension;gastrointestinal carcinoma;nephritis;REM sleep behavior disorder;nervous system disease;encephalomyelitis;craniopharyngioma;epilepsy;viral encephalitis;laryngitis;pharyngitis
hyperthermia,"Charcot-Marie-Tooth disease axonal type 2N;acrodermatitis;uveal disease;pineoblastoma;Charcot-Marie-Tooth disease type 1C;pancreatitis;Charcot-Marie-Tooth disease type 4;ureteral disease;Charcot-Marie-Tooth disease type 6;Charcot-Marie-Tooth disease;myotonia congenita;Alagille syndrome;Charcot-Marie-Tooth disease axonal type 2P;breast adenocarcinoma;primary thrombocytopenia;malignant hyperthermia;Charcot-Marie-Tooth disease type 2;villous adenocarcinoma;renal artery disease;muscular disease;Charcot-Marie-Tooth disease type 1D;Charcot-Marie-Tooth disease type 4B3;Charcot-Marie-Tooth disease intermediate type;Charcot-Marie-Tooth disease type 4H;retinal disease;anus adenocarcinoma;jejunal adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2X;sarcoidosis;Charcot-Marie-Tooth disease, axonal type 2W;urethra adenocarcinoma;hemangioblastoma;astroblastoma;acute stress disorder;Charcot-Marie-Tooth disease type 1F;Parkinson's disease 7;Charcot-Marie-Tooth disease type 2D;Charcot-Marie-Tooth disease type 4A;Charcot-Marie-Tooth disease type 4D;Charcot-Marie-Tooth disease type 2J;Charcot-Marie-Tooth disease type 4K;Charcot-Marie-Tooth disease type 1B;blastoma;Parkinson's disease 1;Charcot-Marie-Tooth disease type 4J;Charcot-Marie-Tooth disease axonal type 2C;secondary Parkinson disease;acute pancreatitis;Danon disease;eye carcinoma;Charcot-Marie-Tooth disease type 7;comedo carcinoma;myoblastoma;Parkinson's disease 2;adrenal carcinoma;eccrine adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2T;bladder adenocarcinoma;coronary artery disease;anal carcinoma;adenocarcinoma in situ;Charcot-Marie-Tooth disease type 2EE;thrombocytopenia;vascular disease;Charcot-Marie-Tooth disease axonal type 2S;cystadenocarcinoma;fucosidosis;Parkinsonism;melanoma;Charcot-Marie-Tooth disease type 2A1;cecum adenocarcinoma;gastric adenocarcinoma;Charcot-Marie-Tooth disease type 5;cecal disease;Parkinson's disease 6;Charcot-Marie-Tooth disease axonal type 2K;Charcot-Marie-Tooth disease type 4B2;Charcot-Marie-Tooth disease type 1G;adenosarcoma;osteoblastoma;coccidiosis;carcinoma;Parkinson's disease 8;Charcot-Marie-Tooth disease type 2A2A;teratocarcinoma;Parkinson's disease 21;Parkinson's disease 3;urethral disease;Charcot-Marie-Tooth disease type 3;cleft palate;lung carcinoma;rectal disease;thymus adenocarcinoma;ameloblastoma;testicular disease;Charcot-Marie-Tooth disease type 2I;Charcot-Marie-Tooth disease type X;Parkinson's disease 22;ureter adenocarcinoma;Parkinson's disease 14;neuroblastoma;acquired thrombocytopenia;Charcot-Marie-Tooth disease type 2Y;retinoblastoma;Charcot-Marie-Tooth disease axonal type 2Q;iritis;Parkinson's disease 20;renal carcinoma;pulmonary artery disease;Parkinson's disease 25;prion disease;lung adenocarcinoma;Charcot-Marie-Tooth disease type 2B;fragile X syndrome;Parkinson's disease 15;bone carcinoma;Parkinson's disease 23;Charcot-Marie-Tooth disease type 4C;Parkinson's disease 19A;medulloblastoma;thrombocytosis;adenocarcinoma;Charcot-Marie-Tooth disease type 2R;Charcot-Marie-Tooth disease type 2B1;neuromuscular disease;Charcot-Marie-Tooth disease axonal type 2V;tubular adenocarcinoma;ovary adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2U;Parkinson's disease 4;Charcot-Marie-Tooth disease axonal type 2F;Charcot-Marie-Tooth disease type 4B1;Parkinson's disease;Frasier syndrome;Charcot-Marie-Tooth disease axonal type 2Z;Charcot-Marie-Tooth disease type 2B2;Parkinson's disease 17;colon adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2H;Charcot-Marie-Tooth disease type 4F;Charcot-Marie-Tooth disease type 1;glioblastoma;Charcot-Marie-Tooth disease type 2E;Charcot-Marie-Tooth disease type 2DD;skin carcinoma;Fraser syndrome;Charcot-Marie-Tooth disease type 4E;Charcot-Marie-Tooth disease axonal type 2O;rectum adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2L;vulva adenocarcinoma;Charcot-Marie-Tooth disease axonal type 2CC;Charcot-Marie-Tooth disease type 1E;Charcot-Marie-Tooth disease type 2A2B;Charcot-Marie-Tooth disease type 1A;malignant hypertension;Charcot-Marie-Tooth disease type 4G;penis carcinoma"
neurological and physiological symptom,
infant symptom,
anxiety,Parkinson's disease 19A;Parkinson's disease 7;obesity;Parkinson's disease 1;Parkinson's disease 8;fibromyalgia;secondary Parkinson disease;Danon disease;Parkinson's disease 21;Parkinson's disease 3;Parkinson's disease 2;Parkinson's disease 23;Parkinson's disease 4;depressive disorder;esophageal leukoplakia;Parkinson's disease;Caroli syndrome;Parkinson's disease 22;Parkinson's disease 17;COVID-19;Parkinson's disease 14;postural orthostatic tachycardia syndrome;diabetes mellitus;male infertility;Parkinson's disease 20;polycystic ovary syndrome;Parkinsonism;Parkinson's disease 25;prion disease;Parkinson's disease 6;Parkinson's disease 15;infertility
catatonia,schizophrenia;phenylketonuria;Brunner Syndrome;schizophrenia 14;urethral syndrome;brain disease;schizophrenia 11;specific developmental disorder;acute necrotizing encephalitis;Frey syndrome;Muenke Syndrome;dementia;hypoparathyroidism;cyclothymic disorder;Troyer syndrome;psychotic disorder;Parkinson's disease 7;Parkinson's disease 1;secondary Parkinson disease;Danon disease;bipolar disorder;Parkinson's disease 2;expressive language disorder;schizophrenia 10;schizophrenia 13;COVID-19;chronic tic disorder;pneumonia;schizophrenia 8;syndromic intellectual disability;autistic disorder;Parkinsonism;schizophrenia 7;Werner syndrome;Wilson-Turner syndrome;schizophrenia 15;Carpenter syndrome;Parkinson's disease 6;schizophrenia 19;subacute sclerosing panencephalitis;neuroleptic malignant syndrome;Horner's syndrome;Parkinson's disease 8;autism spectrum disorder;Parkinson's disease 21;schizophrenia 9;Parkinson's disease 3;schizophrenia 12;Turner syndrome;bipolar I disorder;hyperparathyroidism;schizophrenia 5;Behr syndrome;Parkinson's disease 22;schizophrenia 4;schizophrenia 3;syphilis;tic disorder;Parkinson's disease 14;major depressive disorder;schizophrenia 16;hypothyroidism;Parkinson's disease 20;Parkinson's disease 25;pervasive developmental disorder;prion disease;hyperthyroidism;Parkinson's disease 15;Parkinson's disease 23;schizophrenia 1;Parkinson's disease 19A;Tukel syndrome;intellectual disability;Parkinson's disease 4;depressive disorder;atypical depressive disorder;schizophrenia 2;Parkinson's disease;Parkinson's disease 17;bipolar ll disorder;schizophrenia 18;Fraser syndrome;schizophrenia 6;Binder syndrome
dysarthria,amyotrophic lateral sclerosis type 12;amyotrophic lateral sclerosis type 22;dystonia;amyotrophic lateral sclerosis type 9;primary cerebellar degeneration;amyotrophic lateral sclerosis type 2;dystonia 12;amyotrophic lateral sclerosis type 26;multiple sclerosis;dystonia 33;brain disease;dystonia 24;eye degenerative disease;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 1;apraxia;dystonia 16;cyclothymic disorder;psychotic disorder;Parkinson's disease 7;somatization disorder;amyotrophic lateral sclerosis type 20;Parkinson's disease 1;pantothenate kinase-associated neurodegeneration;secondary Parkinson disease;cerebellar ataxia;Danon disease;language disorder;amyotrophic lateral sclerosis type 18;Parkinson's disease 2;cerebellar ataxia type 41;amyotrophic lateral sclerosis type 28;amyotrophic lateral sclerosis type 8;spinocerebellar ataxia 45;basal ganglia disease;chronic tic disorder;Huntington's disease;spinocerebellar ataxia 46;dystonia 9;syndromic intellectual disability;Parkinsonism;amyotrophic lateral sclerosis type 15;cerebral degeneration;dystonia 5;cerebellar ataxia type 48;Parkinson's disease 6;amyotrophic lateral sclerosis type 11;dystonia 23;Parkinson's disease 8;Parkinson's disease 21;Parkinson's disease 3;dysthymic disorder;amyotrophic lateral sclerosis type 6;amyotrophic lateral sclerosis type 13;neurodegenerative disease;cerebellar ataxia type 9;communication disorder;amyotrophic lateral sclerosis type 21;Parkinson's disease 22;Machado-Joseph disease;Parkinson's disease 14;tic disorder;progressive non-fluent aphasia;amyotrophic lateral sclerosis type 19;rumination disorder;amyotrophic lateral sclerosis type 25;Parkinson's disease 20;amyotrophic lateral sclerosis type 4;Parkinson's disease 25;spinocerebellar ataxia 44;primary progressive aphasia;prion disease;aphasia;thrombosis;Parkinson's disease 15;amyotrophic lateral sclerosis type 7;Parkinson's disease 23;sporatic amyotrophic lateral sclerosis;Parkinson's disease 19A;Huntington's disease-like 1;amyotrophic lateral sclerosis type 24;thrombocytosis;amyotrophic lateral sclerosis type 16;dystonia 21;amyotrophic lateral sclerosis type 23;amyotrophic lateral sclerosis type 5;intellectual disability;amyotrophic lateral sclerosis type 3;Mahvash Disease;Parkinson's disease 4;dystonia 31;dystonia 27;dystonia 30;Parkinson's disease;cerebellar ataxia type 43;dystonia 32;facial paralysis;Parkinson's disease 17;stuttering;polymicrogyria;histiocytoma;macular degeneration;degenerative disc disease;amyotrophic lateral sclerosis type 10;cerebellar ataxia type 47;Huntington's disease-like 2;cerebellar ataxia type 42;dystonia 25;spermatocytoma
amaurosis fugax,antiphospholipid syndrome;blindness;otosclerosis 1;cerebral artery occlusion;protein C deficiency;otosclerosis 8;biotin deficiency;coccidiosis;branch retinal artery occlusion;aortic atherosclerosis;ophthalmoplegia;hemosiderosis;otosclerosis 2;vein disease;familial atrial fibrillation;osteosclerosis;atrial fibrillation;otosclerosis 7;otosclerosis 3;central retinal artery occlusion;carotid artery disease;ischemia;botulism;glomerulosclerosis;brain ischemia;skin sarcoidosis;vertebral artery occlusion;otosclerosis 4;tuberous sclerosis 1;retinal vein occlusion;amyloidosis;prothrombin deficiency;scleritis;rectal disease;nephrosclerosis;cerebritis;otosclerosis 10;tuberous sclerosis 2;otosclerosis 5;cerebral atherosclerosis;neurosarcoidosis;carotid stenosis;cervicitis;colitis;otosclerosis 11;arteriolosclerosis;spinal disease;arteriosclerosis;nail disease;tuberous sclerosis;protein S deficiency;intestinal disease;ileitis;carotid artery dissection;fucosidosis;otosclerosis;lateral sclerosis;retinal disease;sarcoidosis;atherosclerosis;retinal artery occlusion;cerebrovascular disease;retinal ischemia
